feature,gain_rank,gain_importance_mean,gain_importance_pct,split_importance_mean,count_flag_1,count_flag_0,coverage_pct,pit_rate_when_1,pit_rate_when_0,base_rate,diff_1_vs_0,diff_1_vs_base,lift_vs_base,is_outlier_flag
Race_Year_Compound_target_encoded,1,7532717.289788027,36.484385908951616,288.4,,,,,,,,,,0
Compound_Stint_bin_target_encoded,2,1267269.44614411,6.137963996926556,117.4,,,,,,,,,,0
TyreLife_pct,3,1093156.6974464192,5.294656532863527,844.2,,,,,,,,,,0
TyreLife_x_Stint,4,888146.965593785,4.301700885617582,500.6,,,,,,,,,,0
Race_Year_target_encoded,5,874345.3387912698,4.234853311354183,62.8,,,,,,,,,,0
Race_Year,6,842104.3473403931,4.078695482920123,982.6,,,,,,,,,,0
Race_Year_Compound,7,810986.3680510521,3.9279769146501815,1943.2,,,,,,,,,,0
Compound_Stint_bin,8,730064.2020534516,3.5360339518036654,256.2,,,,,,,,,,0
is_2023,9,690204.9202942669,3.3429772682975396,26.8,,,,,,,,,,0
abs_delta_x_TyreLife,10,622514.7339689009,3.0151228188160046,393.8,,,,,,,,,,0
RemainingRace_x_TyreLife,11,587370.9955098331,2.844905662523395,643.0,,,,,,,,,,0
Driver_Race,12,580741.2851049423,2.8127949508676497,1984.6,,,,,,,,,,0
Stint_Compound,13,555027.376479721,2.68825076190918,165.4,,,,,,,,,,0
Driver_Year,14,511604.0688879013,2.4779318755531463,2137.0,,,,,,,,,,0
Driver_Race_target_encoded,15,410666.9319076285,1.9890472783407351,996.8,,,,,,,,,,0
Driver_Compound,16,325252.2758190155,1.5753451367188727,1604.8,,,,,,,,,,0
Stint_Compound_target_encoded,17,324860.48992396594,1.573447538914684,43.2,,,,,,,,,,0
TyreAgeRatio,18,263959.9478307247,1.2784784335685455,166.0,,,,,,,,,,0
Driver_Year_target_encoded,19,210248.6840853691,1.0183302826748886,95.0,,,,,,,,,,0
abs_lap_delta,20,159101.77590470685,0.7706024755205185,194.8,,,,,,,,,,0
Driver,21,150210.70075340272,0.7275389428687046,928.8,,,,,,,,,,0
Compound_TyreLifeBin,22,134093.08687362671,0.649473986744781,143.2,,,,,,,,,,0
TyreLife,23,128105.89572417438,0.6204752889304593,151.2,,,,,,,,,,0
clipped_LapTime_Delta,24,95917.0445367217,0.4645699995761198,106.8,,,,,,,,,,0
Race_Compound,25,90005.17235412597,0.43593610587528664,286.2,,,,,,,,,,0
LapTime_Delta,26,89291.26009296626,0.43247830314099384,104.6,,,,,,,,,,0
LapsRemaining,27,72930.52298326492,0.353235790313057,71.8,,,,,,,,,,0
PositionChange_abs,28,70860.62366666793,0.3432103237311929,210.2,,,,,,,,,,0
TyreLifeBin,29,58234.17965240478,0.2820546957749083,4.6,,,,,,,,,,0
EstimatedTotalLaps,30,47896.34984021187,0.23198387035837068,138.0,,,,,,,,,,0
TyreLife_minus_roll3_mean_by_driver_race,31,43278.15721845627,0.20961585688700013,93.4,,,,,,,,,,0
log1p_TyreLife,32,36708.886733436586,0.1777978833330652,50.0,,,,,,,,,,0
Stint_bin,33,32198.54182357788,0.15595222552551044,26.8,,,,,,,,,,0
Compound_RaceProgressBin,34,26486.41656665802,0.12828579730096223,104.8,,,,,,,,,,0
TyreLife_diff_lag1_by_driver_race,35,24567.27030773163,0.11899049654391478,33.4,,,,,,,,,,0
Driver_Race_frequency,36,17613.587363529205,0.0853106380991124,75.0,,,,,,,,,,0
Position,37,17394.110928201677,0.08424761360790176,123.6,,,,,,,,,,0
LapTime_over_TyreLife,38,17345.535997247694,0.08401234305967231,66.4,,,,,,,,,,0
LapNumber,39,15781.117225503922,0.07643514933319515,20.0,,,,,,,,,,0
Year,40,15238.621096801759,0.0738075931204438,2.6,,,,,,,,,,0
PositionPressure,41,15190.239360880852,0.07357325830388614,95.6,,,,,,,,,,0
TyreLife_minus_roll5_mean_by_driver_race,42,14050.401488018037,0.0680525035447047,55.8,,,,,,,,,,0
TyreLife_stint_diff_prev,43,13910.406240224838,0.06737444270033574,31.2,,,,,,,,,,0
stint_lap_index_pct_of_lap,44,13331.865351772309,0.06457230527417411,47.4,,,,,,,,,,0
RaceProgress,45,8868.086409139632,0.042952187687118684,30.8,,,,,,,,,,0
Position_Change,46,8818.158849811554,0.04271036574266749,50.8,,,,,,,,,,0
RemainingRace,47,8700.900090408326,0.04214242808289735,24.4,,,,,,,,,,0
TyreLife_x_RaceProgress,48,8320.365480959415,0.04029932538718515,23.6,,,,,,,,,,0
Driver_Compound_target_encoded,49,7825.276718760282,0.03790138467543879,34.0,,,,,,,,,,0
Stint,50,5477.066749477386,0.026527932650269873,23.6,,,,,,,,,,0
TyreLife_roll5_std_by_driver_race,51,5362.496258103847,0.025973015498830083,20.0,,,,,,,,,,0
Race,52,4782.445715332031,0.023163566128166217,29.2,,,,,,,,,,0
Compound_TyreLifeBin_target_encoded,53,4398.341426467896,0.021303173846724727,15.0,,,,,,,,,,0
LapTime_Delta_pct_change_lag1_by_driver_race,54,2806.4903685748577,0.013593113045096418,13.0,,,,,,,,,,0
RaceProgress_diff_lag1_by_driver_race,55,2647.7971247911455,0.012824489276991188,11.2,,,,,,,,,,0
