feature,split_importance_fold_1,gain_importance_fold_1,split_importance_fold_2,gain_importance_fold_2,split_importance_fold_3,gain_importance_fold_3,split_importance_fold_4,gain_importance_fold_4,split_importance_fold_5,gain_importance_fold_5,split_importance_mean,gain_importance_mean,gain_importance_pct,gain_rank
Race_Year_Compound_target_encoded,329,7511991.966633241,282,7538542.392001074,273,7549073.554172516,289,7528620.024549961,269,7535358.511583343,288.4,7532717.289788027,36.484385908951616,1
Compound_Stint_bin_target_encoded,121,1079084.4376321137,98,970758.7095537186,131,1504963.8534212112,112,1249231.6185188293,125,1532308.611594677,117.4,1267269.44614411,6.137963996926556,2
TyreLife_pct,950,1118500.3120157784,821,1082293.4827463627,802,1099324.1027770042,828,1088444.39840734,820,1077221.1912856102,844.2,1093156.6974464192,5.294656532863527,3
TyreLife_x_Stint,564,903217.675005436,492,882819.5008914471,525,909582.3112792969,444,885519.772608012,478,859595.5681847334,500.6,888146.965593785,4.301700885617582,4
Race_Year_target_encoded,80,823202.8781523444,68,924339.7128453255,57,846046.6391777992,53,819765.4688506126,56,958371.9949302673,62.8,874345.3387912698,4.234853311354183,5
Race_Year,1121,897078.0341348648,906,762367.2464847565,960,912836.202208519,955,878945.0609407425,971,759295.1929330826,982.6,842104.3473403931,4.078695482920123,6
Race_Year_Compound,2443,872879.7331514359,1826,797076.1367692947,1821,804324.5813035965,1805,795152.3930683136,1821,785498.9959626198,1943.2,810986.3680510521,3.9279769146501815,7
Compound_Stint_bin,279,619296.6900978088,240,597140.6047935486,256,556213.59557724,264,1055102.6500339508,242,822567.4697647095,256.2,730064.2020534516,3.5360339518036654,8
is_2023,28,683052.59075737,25,674226.7194479406,34,727870.5041566491,23,694057.9938049316,24,671816.7933044434,26.8,690204.9202942669,3.3429772682975396,9
abs_delta_x_TyreLife,447,619587.3370350711,372,627609.7327467948,381,609678.9275203943,381,616168.7595538199,388,639528.9129884243,393.8,622514.7339689009,3.0151228188160046,10
RemainingRace_x_TyreLife,717,603798.6106468141,651,591176.7559137344,608,586037.9252052307,606,573292.7584562302,633,582548.9273271561,643.0,587370.9955098331,2.844905662523395,11
Driver_Race,2861,734622.5793466568,1694,517977.8536901474,1776,548225.9331026077,1771,547043.3961267471,1821,555836.6632585526,1984.6,580741.2851049423,2.8127949508676497,12
