feature,flag_value,count,actual_pit_rate,mean_oof_pred,pred_minus_actual
flag_TyreLife_high95,0,414107,0.18574184932879667,0.29347723722457886,0.10773538789578219
flag_TyreLife_high95,1,25033,0.41800822913753843,0.5072301626205444,0.089221933483006
flag_TyreLife_high99,0,434319,0.19553600003683927,0.3025099039077759,0.10697390387093661
flag_TyreLife_high99,1,4821,0.5094378759593445,0.5896467566490173,0.0802088806896728
flag_TyreLife_low05,0,405761,0.21395846323328266,0.32511892914772034,0.11116046591443768
flag_TyreLife_low05,1,33379,0.016926810269930197,0.06914303451776505,0.05221622424783485
flag_TyreLife_low01,0,420700,0.2074898977893986,0.31724822521209717,0.10975832742269856
flag_TyreLife_low01,1,18440,0.004880694143167028,0.0413331612944603,0.03645246715129327
flag_Cumulative_Degradation_low05,0,417183,0.18457367630032864,0.2874683737754822,0.10289469747515353
flag_Cumulative_Degradation_low05,1,21957,0.4727421778931548,0.6513444781303406,0.17860230023718576
flag_Cumulative_Degradation_low01,0,434745,0.19483605331861206,0.30066367983818054,0.10582762651956848
flag_Cumulative_Degradation_low01,1,4395,0.6091012514220705,0.8001107573509216,0.19100950592885113
flag_Position_Change_high95,0,412965,0.19240129308779194,0.29733872413635254,0.1049374310485606
flag_Position_Change_high95,1,26175,0.3028080229226361,0.43698275089263916,0.13417472797000307
flag_Position_Change_high99,0,433862,0.1974821487016609,0.30415651202201843,0.10667436332035754
flag_Position_Change_high99,1,5278,0.3222811671087533,0.4294339716434479,0.10715280453469456
flag_LapNumber_high95,0,414943,0.19209867379374998,0.2969394624233246,0.1048407886295746
flag_LapNumber_high95,1,24197,0.3170227714179444,0.4552447199821472,0.13822194856420283
flag_LapTime_Delta_high95,0,417180,0.19560621314540486,0.30059802532196045,0.1049918121765556
flag_LapTime_Delta_high95,1,21960,0.26311475409836066,0.4018675684928894,0.13875281439452875
flag_RaceProgress_low05,0,415902,0.20717861419276656,0.31732940673828125,0.11015079254551469
flag_RaceProgress_low05,1,23238,0.052285050348567,0.09684919565916061,0.04456414531059361
flag_RaceProgress_high99,0,434734,0.20064453205868416,0.30800825357437134,0.10736372151568718
flag_RaceProgress_high99,1,4406,0.03495233772128915,0.07418966293334961,0.039237325212060456
flag_Stint_low05,0,222852,0.33404681133667186,0.4703931212425232,0.13634630990585134
flag_Stint_low05,1,216288,0.05981839029442225,0.13593199849128723,0.07611360819686498
flag_old_tyre_and_slow,0,438377,0.19810802117811838,0.3047885298728943,0.10668050869477591
flag_old_tyre_and_slow,1,763,0.7011795543905636,0.8076511025428772,0.10647154815231363
flag_old_tyre_late_race,0,427949,0.19531299290336,0.3026810586452484,0.10736806574188842
flag_old_tyre_late_race,1,11191,0.33929050129568405,0.41966357827186584,0.08037307697618179
flag_position_loss_and_slow,0,436865,0.19864489029791813,0.30504730343818665,0.10640241314026852
flag_position_loss_and_slow,1,2275,0.26373626373626374,0.42374125123023987,0.16000498749397613
