feature,count_flag_1,count_flag_0,coverage_pct,pit_rate_when_1,pit_rate_when_0,base_rate,diff_1_vs_0,diff_1_vs_base,lift_vs_base
flag_old_tyre_and_slow,763,438377,0.1737486906225805,0.7011795543905636,0.19810802117811838,0.19898210137996994,0.5030715332124451,0.5021974530105936,3.523832292089494
flag_Cumulative_Degradation_low01,4395,434745,1.0008197841235142,0.6091012514220705,0.19483605331861206,0.19898210137996994,0.4142651981034584,0.41011915004210053,3.0610856313098735
flag_TyreLife_high99,4821,434319,1.0978275720726876,0.5094378759593445,0.19553600003683927,0.19898210137996994,0.3139018759225053,0.31045577457937457,2.5602195997846966
flag_Cumulative_Degradation_low05,21957,417183,5.0,0.4727421778931548,0.18457367630032864,0.19898210137996994,0.28816850159282614,0.2737600765131849,2.3758025199986266
flag_TyreLife_high95,25033,414107,5.700459989980416,0.41800822913753843,0.18574184932879667,0.19898210137996994,0.23226637980874176,0.2190261277575685,2.10073281083369
flag_old_tyre_late_race,11191,427949,2.548390035068543,0.33929050129568405,0.19531299290336,0.19898210137996994,0.14397750839232407,0.14030839991571412,1.705130757704612
flag_Position_Change_high99,5278,433862,1.2018946121965661,0.3222811671087533,0.1974821487016609,0.19898210137996994,0.12479901840709243,0.12329906572878338,1.6196490280969311
flag_LapNumber_high95,24197,414943,5.510087899075466,0.3170227714179444,0.19209867379374998,0.19898210137996994,0.1249240976241944,0.11804067003797444,1.5932225522765373
flag_Position_Change_high95,26175,412965,5.9605137313840695,0.3028080229226361,0.19240129308779194,0.19898210137996994,0.11040672983484415,0.10382592154266615,1.5217852300413868
flag_position_loss_and_slow,2275,436865,0.5180580224985198,0.26373626373626374,0.19864489029791813,0.19898210137996994,0.06509137343834562,0.0647541623562938,1.3254270706119506
flag_LapTime_Delta_high95,21960,417180,5.0006831534362615,0.26311475409836066,0.19560621314540486,0.19898210137996994,0.0675085409529558,0.06413265271839072,1.3223036256709593
flag_Stint_low05,216288,222852,49.25263014072961,0.05981839029442225,0.33404681133667186,0.19898210137996994,-0.2742284210422496,-0.1391637110855477,0.3006219648881632
flag_RaceProgress_low05,23238,415902,5.291706517283782,0.052285050348567,0.20717861419276656,0.19898210137996994,-0.15489356384419956,-0.14669705103140293,0.2627625800811356
flag_RaceProgress_high99,4406,434734,1.0033246800564741,0.03495233772128915,0.20064453205868416,0.19898210137996994,-0.16569219433739502,-0.16402976365868077,0.17565568701350315
flag_TyreLife_low05,33379,405761,7.600992849660701,0.016926810269930197,0.21395846323328266,0.19898210137996994,-0.19703165296335245,-0.18205529111003974,0.08506699925541189
flag_TyreLife_low01,18440,420700,4.199116454889102,0.004880694143167028,0.2074898977893986,0.19898210137996994,-0.20260920364623158,-0.19410140723680291,0.024528307366937535
