blend_type,lgbm_weight,catboost_weight,oof_auc
probability,0.427,0.573,0.960446270458643
probability,0.426,0.5740000000000001,0.9604462684733401
probability,0.428,0.5720000000000001,0.9604462587743079
probability,0.429,0.571,0.9604462585468252
probability,0.43,0.5700000000000001,0.96044624773106
probability,0.431,0.569,0.9604462210535514
probability,0.425,0.575,0.9604462137120665
probability,0.424,0.5760000000000001,0.9604461866829938
probability,0.432,0.5680000000000001,0.9604461664577197
probability,0.423,0.577,0.960446153181006
probability,0.433,0.567,0.9604461184382042
probability,0.422,0.5780000000000001,0.9604461019767336
probability,0.434,0.5660000000000001,0.9604460495936876
probability,0.421,0.579,0.9604460217374053
probability,0.435,0.565,0.9604459729320407
probability,0.42,0.5800000000000001,0.9604459109947241
probability,0.436,0.5640000000000001,0.9604458769757306
probability,0.419,0.581,0.960445809599511
probability,0.437,0.563,0.96044575332858
probability,0.418,0.5820000000000001,0.9604456853319532
probability,0.438,0.562,0.9604456125168306
probability,0.417,0.583,0.9604455826545651
probability,0.439,0.5609999999999999,0.9604455080609422
probability,0.41600000000000004,0.584,0.9604454534857908
probability,0.44,0.56,0.9604453729155786
probability,0.41500000000000004,0.585,0.9604453041537832
probability,0.441,0.5589999999999999,0.9604452432918389
probability,0.41400000000000003,0.586,0.960445167664204
probability,0.442,0.558,0.9604450514826197
probability,0.41300000000000003,0.587,0.9604449833412314
probability,0.443,0.5569999999999999,0.960444866621961
probability,0.41200000000000003,0.588,0.9604448010656025
probability,0.444,0.556,0.960444693921283
probability,0.41100000000000003,0.589,0.9604446013978922
probability,0.445,0.5549999999999999,0.9604445192559821
probability,0.41000000000000003,0.59,0.9604443388208944
probability,0.446,0.554,0.9604442956819154
probability,0.40900000000000003,0.591,0.9604441220299462
probability,0.447,0.5529999999999999,0.9604440665035038
probability,0.40800000000000003,0.592,0.9604438859856953
probability,0.448,0.552,0.96044380688378
probability,0.40700000000000003,0.593,0.9604436459915187
probability,0.449,0.5509999999999999,0.960443538847199
probability,0.406,0.594,0.9604433818428224
probability,0.45,0.55,0.9604432715757867
probability,0.405,0.595,0.9604431430687799
probability,0.451,0.5489999999999999,0.9604429630886576
probability,0.404,0.596,0.9604428417163333
probability,0.452,0.548,0.9604426394015527
probability,0.403,0.597,0.9604425409636137
probability,0.453,0.5469999999999999,0.9604423004524313
probability,0.402,0.598,0.9604422364470906
probability,0.454,0.546,0.960441997755769
probability,0.401,0.599,0.9604419259953387
probability,0.455,0.5449999999999999,0.9604416755162808
probability,0.4,0.6,0.9604416007572159
probability,0.456,0.544,0.9604413543935256
probability,0.399,0.601,0.9604412245009426
probability,0.457,0.5429999999999999,0.9604410020849695
probability,0.398,0.602,0.9604408480171868
probability,0.458,0.542,0.9604406157574197
probability,0.397,0.603,0.9604405017472607
probability,0.459,0.5409999999999999,0.9604402331729932
probability,0.396,0.604,0.960440103321771
probability,0.46,0.54,0.9604398442604138
probability,0.395,0.605,0.9604396985267676
probability,0.461,0.5389999999999999,0.9604394596286434
probability,0.394,0.606,0.9604393143499628
probability,0.462,0.538,0.9604390444107997
probability,0.393,0.607,0.9604389222112658
probability,0.463,0.5369999999999999,0.9604385762722234
probability,0.392,0.608,0.9604384995485359
probability,0.464,0.536,0.9604381330119749
probability,0.391,0.609,0.9604380542202635
probability,0.465,0.5349999999999999,0.9604376733316168
probability,0.39,0.61,0.9604376289931839
probability,0.466,0.534,0.9604371924126527
probability,0.389,0.611,0.9604371663141907
probability,0.467,0.5329999999999999,0.9604366939361653
probability,0.388,0.612,0.9604366847541392
probability,0.387,0.613,0.9604362228816753
probability,0.468,0.532,0.9604362001747728
probability,0.386,0.614,0.9604356880286472
